invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax_5pct,sales,date,time,payment,cogs,gross_income,rating,day,month,weekday,hour,time_of_day,rfm_date
750-67-8428,Branch A,Cairo,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,2019-01-05,1900-01-01 13:08:00,Ewallet,522.83,26.1415,9.1,5,1,Saturday,13,Afternoon,2019-01-05
226-31-3081,Branch C,Alexandria,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,2019-03-08,1900-01-01 10:29:00,Cash,76.4,3.82,9.6,8,3,Friday,10,Morning,2019-03-08
631-41-3108,Branch A,Cairo,Normal,Female,Home and lifestyle,46.33,7,16.2155,340.5255,2019-03-03,1900-01-01 13:23:00,Credit card,324.31,16.2155,7.4,3,3,Sunday,13,Afternoon,2019-03-03
123-19-1176,Branch A,Cairo,Member,Female,Health and beauty,58.22,8,23.288,489.048,2019-01-27,1900-01-01 20:33:00,Ewallet,465.76,23.288,8.4,27,1,Sunday,20,Evening,2019-01-27
373-73-7910,Branch A,Cairo,Member,Female,Sports and travel,86.31,7,30.2085,634.3785,2019-02-08,1900-01-01 10:37:00,Ewallet,604.17,30.2085,5.3,8,2,Friday,10,Morning,2019-02-08
699-14-3026,Branch C,Alexandria,Member,Female,Electronic accessories,85.39,7,29.8865,627.6165,2019-03-25,1900-01-01 18:30:00,Ewallet,597.73,29.8865,4.1,25,3,Monday,18,Evening,2019-03-25
355-53-5943,Branch A,Cairo,Member,Female,Electronic accessories,68.84,6,20.652,433.692,2019-02-25,1900-01-01 14:36:00,Ewallet,413.04,20.652,5.8,25,2,Monday,14,Afternoon,2019-02-25
315-22-5665,Branch C,Alexandria,Member,Female,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,1900-01-01 11:38:00,Ewallet,735.6,36.78,8.0,24,2,Sunday,11,Morning,2019-02-24
665-32-9167,Branch A,Cairo,Member,Female,Health and beauty,36.26,2,3.626,76.146,2019-01-10,1900-01-01 17:15:00,Credit card,72.52,3.626,7.2,10,1,Thursday,17,Evening,2019-01-10
692-92-5582,Branch B,Giza,Member,Female,Food and beverages,54.84,3,8.226,172.746,2019-02-20,1900-01-01 13:27:00,Credit card,164.52,8.226,5.9,20,2,Wednesday,13,Afternoon,2019-02-20
351-62-0822,Branch B,Giza,Member,Female,Fashion accessories,14.48,4,2.896,60.816,2019-02-06,1900-01-01 18:07:00,Ewallet,57.92,2.896,4.5,6,2,Wednesday,18,Evening,2019-02-06
529-56-3974,Branch B,Giza,Member,Female,Electronic accessories,25.51,4,5.102,107.142,2019-03-09,1900-01-01 17:03:00,Cash,102.04,5.102,6.8,9,3,Saturday,17,Evening,2019-03-09
365-64-0515,Branch A,Cairo,Member,Female,Electronic accessories,46.95,5,11.7375,246.4875,2019-02-12,1900-01-01 10:25:00,Ewallet,234.75,11.7375,7.1,12,2,Tuesday,10,Morning,2019-02-12
252-56-2699,Branch A,Cairo,Member,Female,Food and beverages,43.19,10,21.595,453.495,2019-02-07,1900-01-01 16:48:00,Ewallet,431.9,21.595,8.2,7,2,Thursday,16,Afternoon,2019-02-07
829-34-3910,Branch A,Cairo,Member,Female,Health and beauty,71.38,10,35.69,749.49,2019-03-29,1900-01-01 19:21:00,Cash,713.8,35.69,5.7,29,3,Friday,19,Evening,2019-03-29
299-46-1805,Branch B,Giza,Member,Female,Sports and travel,93.72,6,28.116,590.436,2019-01-15,1900-01-01 16:19:00,Cash,562.32,28.116,4.5,15,1,Tuesday,16,Afternoon,2019-01-15
656-95-9349,Branch A,Cairo,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,2019-03-11,1900-01-01 11:03:00,Credit card,482.51,24.1255,4.6,11,3,Monday,11,Morning,2019-03-11
765-26-6951,Branch A,Cairo,Member,Female,Sports and travel,72.61,6,21.783,457.443,2019-01-01,1900-01-01 10:39:00,Credit card,435.66,21.783,6.9,1,1,Tuesday,10,Morning,2019-01-01
329-62-1586,Branch A,Cairo,Member,Female,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,1900-01-01 18:00:00,Credit card,164.01,8.2005,8.6,21,1,Monday,18,Evening,2019-01-21
319-50-3348,Branch B,Giza,Member,Female,Home and lifestyle,40.3,2,4.03,84.63,2019-03-11,1900-01-01 15:30:00,Ewallet,80.6,4.03,4.4,11,3,Monday,15,Afternoon,2019-03-11
300-71-4605,Branch C,Alexandria,Member,Female,Electronic accessories,86.04,5,21.51,451.71,2019-02-25,1900-01-01 11:24:00,Ewallet,430.2,21.51,4.8,25,2,Monday,11,Morning,2019-02-25
371-85-5789,Branch B,Giza,Member,Female,Health and beauty,87.98,3,13.197,277.137,2019-03-05,1900-01-01 10:40:00,Ewallet,263.94,13.197,5.1,5,3,Tuesday,10,Morning,2019-03-05
273-16-6619,Branch B,Giza,Member,Female,Home and lifestyle,33.2,2,3.32,69.72,2019-03-15,1900-01-01 12:20:00,Credit card,66.4,3.32,4.4,15,3,Friday,12,Afternoon,2019-03-15
636-48-8204,Branch A,Cairo,Member,Female,Electronic accessories,34.56,5,8.64,181.44,2019-02-17,1900-01-01 11:15:00,Ewallet,172.8,8.64,9.9,17,2,Sunday,11,Morning,2019-02-17
549-59-1358,Branch A,Cairo,Member,Female,Sports and travel,88.63,3,13.2945,279.1845,2019-03-02,1900-01-01 17:36:00,Ewallet,265.89,13.2945,6.0,2,3,Saturday,17,Evening,2019-03-02
227-03-5010,Branch A,Cairo,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,2019-03-22,1900-01-01 19:20:00,Credit card,420.72,21.036,8.5,22,3,Friday,19,Evening,2019-03-22
649-29-6775,Branch B,Giza,Member,Female,Fashion accessories,33.52,1,1.676,35.196,2019-02-08,1900-01-01 15:31:00,Cash,33.52,1.676,6.7,8,2,Friday,15,Afternoon,2019-02-08
189-17-4241,Branch A,Cairo,Member,Female,Fashion accessories,87.67,2,8.767,184.107,2019-03-10,1900-01-01 12:17:00,Credit card,175.34,8.767,7.7,10,3,Sunday,12,Afternoon,2019-03-10
145-94-9061,Branch B,Giza,Member,Female,Food and beverages,88.36,5,22.09,463.89,2019-01-25,1900-01-01 19:48:00,Cash,441.8,22.09,9.6,25,1,Friday,19,Evening,2019-01-25
848-62-7243,Branch A,Cairo,Member,Female,Health and beauty,24.89,9,11.2005,235.2105,2019-03-15,1900-01-01 15:36:00,Cash,224.01,11.2005,7.4,15,3,Friday,15,Afternoon,2019-03-15
871-79-8483,Branch B,Giza,Member,Female,Fashion accessories,94.13,5,23.5325,494.1825,2019-02-25,1900-01-01 19:39:00,Credit card,470.65,23.5325,4.8,25,2,Monday,19,Evening,2019-02-25
149-71-6266,Branch B,Giza,Member,Female,Sports and travel,78.07,9,35.1315,737.7615,2019-01-28,1900-01-01 12:43:00,Cash,702.63,35.1315,4.5,28,1,Monday,12,Afternoon,2019-01-28
640-49-2076,Branch B,Giza,Member,Female,Sports and travel,83.78,8,33.512,703.752,2019-01-10,1900-01-01 14:49:00,Cash,670.24,33.512,5.1,10,1,Thursday,14,Afternoon,2019-01-10
595-11-5460,Branch A,Cairo,Member,Female,Health and beauty,96.58,2,9.658,202.818,2019-03-15,1900-01-01 10:12:00,Credit card,193.16,9.658,5.1,15,3,Friday,10,Morning,2019-03-15
183-56-6882,Branch C,Alexandria,Member,Female,Food and beverages,99.42,4,19.884,417.564,2019-02-06,1900-01-01 10:42:00,Ewallet,397.68,19.884,7.5,6,2,Wednesday,10,Morning,2019-02-06
232-16-2483,Branch C,Alexandria,Member,Female,Sports and travel,68.12,1,3.406,71.526,2019-01-07,1900-01-01 12:28:00,Ewallet,68.12,3.406,6.8,7,1,Monday,12,Afternoon,2019-01-07
129-29-8530,Branch A,Cairo,Member,Female,Sports and travel,62.62,5,15.655,328.755,2019-03-10,1900-01-01 19:15:00,Ewallet,313.1,15.655,7.0,10,3,Sunday,19,Evening,2019-03-10
272-65-1806,Branch A,Cairo,Member,Female,Electronic accessories,60.88,9,27.396,575.316,2019-01-15,1900-01-01 17:17:00,Ewallet,547.92,27.396,4.7,15,1,Tuesday,17,Evening,2019-01-15
333-73-7901,Branch C,Alexandria,Member,Female,Health and beauty,54.92,8,21.968,461.328,2019-03-23,1900-01-01 13:24:00,Ewallet,439.36,21.968,7.6,23,3,Saturday,13,Afternoon,2019-03-23
777-82-7220,Branch B,Giza,Member,Female,Home and lifestyle,30.12,8,12.048,253.008,2019-03-03,1900-01-01 13:01:00,Cash,240.96,12.048,7.7,3,3,Sunday,13,Afternoon,2019-03-03
280-35-5823,Branch B,Giza,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,2019-01-17,1900-01-01 18:45:00,Ewallet,86.72,4.336,7.9,17,1,Thursday,18,Evening,2019-01-17
554-53-8700,Branch C,Alexandria,Member,Female,Home and lifestyle,56.11,2,5.611,117.831,2019-02-02,1900-01-01 10:11:00,Cash,112.22,5.611,6.3,2,2,Saturday,10,Morning,2019-02-02
354-25-5821,Branch B,Giza,Member,Female,Sports and travel,69.12,6,20.736,435.456,2019-02-08,1900-01-01 13:03:00,Cash,414.72,20.736,5.6,8,2,Friday,13,Afternoon,2019-02-08
228-96-1411,Branch C,Alexandria,Member,Female,Food and beverages,98.7,8,39.48,829.08,2019-03-04,1900-01-01 20:39:00,Cash,789.6,39.48,7.6,4,3,Monday,20,Evening,2019-03-04
617-15-4209,Branch C,Alexandria,Member,Female,Health and beauty,15.37,2,1.537,32.277,2019-03-16,1900-01-01 19:47:00,Cash,30.74,1.537,7.2,16,3,Saturday,19,Evening,2019-03-16
132-32-9879,Branch B,Giza,Member,Female,Electronic accessories,93.96,4,18.792,394.632,2019-03-09,1900-01-01 18:00:00,Cash,375.84,18.792,9.5,9,3,Saturday,18,Evening,2019-03-09
370-41-7321,Branch B,Giza,Member,Female,Health and beauty,56.69,9,25.5105,535.7205,2019-02-27,1900-01-01 17:24:00,Credit card,510.21,25.5105,8.4,27,2,Wednesday,17,Evening,2019-02-27
727-46-3608,Branch B,Giza,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,2019-02-06,1900-01-01 15:47:00,Ewallet,180.09,9.0045,4.1,6,2,Wednesday,15,Afternoon,2019-02-06
669-54-1719,Branch B,Giza,Member,Female,Electronic accessories,18.93,6,5.679,119.259,2019-02-10,1900-01-01 12:45:00,Credit card,113.58,5.679,8.1,10,2,Sunday,12,Afternoon,2019-02-10
574-22-5561,Branch C,Alexandria,Member,Female,Fashion accessories,82.63,10,41.315,867.615,2019-03-19,1900-01-01 17:08:00,Ewallet,826.3,41.315,7.9,19,3,Tuesday,17,Evening,2019-03-19
326-78-5178,Branch C,Alexandria,Member,Female,Food and beverages,91.4,7,31.99,671.79,2019-02-03,1900-01-01 10:19:00,Cash,639.8,31.99,9.5,3,2,Sunday,10,Morning,2019-02-03
162-48-8011,Branch A,Cairo,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,2019-02-10,1900-01-01 15:10:00,Cash,222.95,11.1475,8.5,10,2,Sunday,15,Afternoon,2019-02-10
616-24-2851,Branch B,Giza,Member,Female,Fashion accessories,17.87,4,3.574,75.054,2019-03-22,1900-01-01 14:42:00,Ewallet,71.48,3.574,6.5,22,3,Friday,14,Afternoon,2019-03-22
778-71-5554,Branch C,Alexandria,Member,Female,Fashion accessories,15.43,1,0.7715,16.2015,2019-01-25,1900-01-01 15:46:00,Credit card,15.43,0.7715,6.1,25,1,Friday,15,Afternoon,2019-01-25
242-55-6721,Branch B,Giza,Member,Female,Home and lifestyle,16.16,2,1.616,33.936,2019-03-07,1900-01-01 11:49:00,Ewallet,32.32,1.616,6.5,7,3,Thursday,11,Morning,2019-03-07
399-46-5918,Branch C,Alexandria,Member,Female,Electronic accessories,85.98,8,34.392,722.232,2019-02-28,1900-01-01 19:01:00,Cash,687.84,34.392,8.2,28,2,Thursday,19,Evening,2019-02-28
106-35-6779,Branch A,Cairo,Member,Female,Home and lifestyle,44.34,2,4.434,93.114,2019-03-27,1900-01-01 11:26:00,Cash,88.68,4.434,5.8,27,3,Wednesday,11,Morning,2019-03-27
635-40-6220,Branch A,Cairo,Member,Female,Health and beauty,89.6,8,35.84,752.64,2019-02-07,1900-01-01 11:28:00,Ewallet,716.8,35.84,6.6,7,2,Thursday,11,Morning,2019-02-07
817-48-8732,Branch A,Cairo,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,2019-01-20,1900-01-01 15:55:00,Cash,723.5,36.175,5.4,20,1,Sunday,15,Afternoon,2019-01-20
120-06-4233,Branch C,Alexandria,Member,Female,Electronic accessories,30.61,6,9.183,192.843,2019-03-12,1900-01-01 20:36:00,Cash,183.66,9.183,9.3,12,3,Tuesday,20,Evening,2019-03-12
285-68-5083,Branch C,Alexandria,Member,Female,Sports and travel,24.74,3,3.711,77.931,2019-02-15,1900-01-01 17:47:00,Credit card,74.22,3.711,10.0,15,2,Friday,17,Evening,2019-02-15
