invoice_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
101-17-6199,17,1,336.5565,4,1,3,413,others
101-81-4070,72,1,131.922,1,1,2,112,at_risk
102-06-2002,10,1,132.5625,4,1,2,412,low_value
102-77-2261,25,1,480.0285,3,1,4,314,others
105-10-6182,31,1,45.108,3,1,1,311,low_value
105-31-1824,57,1,510.972,2,1,4,214,at_risk
106-35-6779,3,1,93.114,4,1,1,411,low_value
109-28-2512,82,1,614.943,1,1,4,114,at_risk
109-86-4363,44,1,441.588,3,1,3,313,others
110-05-6330,5,1,248.409,4,1,2,412,low_value
110-48-7033,60,1,137.004,2,1,2,212,at_risk
114-35-5271,51,1,486.444,2,1,4,214,at_risk
115-38-7388,0,1,85.512,4,1,1,411,low_value
115-99-4379,16,1,402.2655,4,1,3,413,others
118-62-1812,6,1,329.196,4,1,3,413,others
120-06-4233,18,1,192.843,4,1,2,412,low_value
120-54-2248,67,1,151.515,1,1,2,112,at_risk
122-61-9553,16,1,484.974,4,1,4,414,others
123-19-1176,62,1,489.048,2,1,4,214,at_risk
123-35-4896,41,1,440.937,3,1,3,313,others
124-31-1458,81,1,250.7085,1,1,2,112,at_risk
125-45-2293,70,1,624.33,1,1,4,114,at_risk
126-54-1082,82,1,203.553,1,1,2,112,at_risk
127-47-6963,21,1,217.182,4,1,2,412,low_value
129-29-8530,20,1,328.755,4,1,3,413,others
130-67-4723,78,1,305.55,1,1,3,113,at_risk
130-98-8941,49,1,472.311,2,1,4,214,at_risk
131-15-8856,0,1,609.168,4,1,4,414,others
131-70-8179,41,1,290.0835,3,1,3,313,others
132-23-6451,85,1,110.0925,1,1,1,111,at_risk
132-32-9879,21,1,394.632,4,1,3,413,others
133-14-7229,88,1,132.027,1,1,2,112,at_risk
133-77-3154,42,1,252.756,3,1,2,312,low_value
134-54-4720,59,1,356.328,2,1,3,213,at_risk
134-75-2619,5,1,142.002,4,1,2,412,low_value
135-13-8269,63,1,165.648,2,1,2,212,at_risk
135-84-8019,31,1,736.4385,3,1,4,314,others
136-08-6195,43,1,587.664,3,1,4,314,others
137-63-5492,60,1,616.98,2,1,4,214,at_risk
137-74-8729,17,1,102.396,4,1,1,411,low_value
138-17-5109,74,1,843.0345,1,1,4,114,at_risk
139-20-0155,65,1,423.15,2,1,3,213,at_risk
139-32-4183,16,1,921.186,4,1,4,414,others
139-52-2867,45,1,165.4485,3,1,2,312,low_value
142-63-6033,10,1,484.89,4,1,4,414,others
142-72-4741,30,1,195.72,3,1,2,312,low_value
144-51-6085,84,1,297.108,1,1,3,113,at_risk
145-94-9061,64,1,463.89,2,1,3,213,at_risk
146-09-5432,49,1,331.128,2,1,3,213,at_risk
148-41-7930,66,1,734.706,1,1,4,114,at_risk
148-82-2527,25,1,127.26,3,1,2,312,low_value
149-14-0304,52,1,239.4,2,1,2,212,at_risk
149-15-7606,24,1,352.674,3,1,3,313,others
149-61-1929,70,1,673.995,1,1,4,114,at_risk
149-71-6266,61,1,737.7615,2,1,4,214,at_risk
150-89-8043,44,1,140.6475,3,1,2,312,low_value
151-16-1484,45,1,135.45,3,1,2,312,low_value
151-27-8496,70,1,235.746,1,1,2,112,at_risk
151-33-7434,54,1,71.1585,2,1,1,211,at_risk
152-03-4217,13,1,106.596,4,1,1,411,low_value
152-08-9985,18,1,608.202,4,1,4,414,others
152-68-2907,43,1,164.43,3,1,2,312,low_value
153-58-4872,29,1,314.538,3,1,3,313,others
154-74-7179,32,1,57.1725,3,1,1,311,low_value
154-87-7367,15,1,548.184,4,1,4,414,others
155-45-3814,11,1,743.82,4,1,4,414,others
156-20-0370,20,1,26.7225,4,1,1,411,low_value
156-95-3964,5,1,232.638,4,1,2,412,low_value
157-13-5295,21,1,545.37,4,1,4,414,others
160-22-2687,66,1,503.7375,1,1,4,114,at_risk
162-48-8011,48,1,234.0975,2,1,2,212,at_risk
162-65-8559,68,1,72.429,1,1,1,111,at_risk
163-56-7055,4,1,51.1455,4,1,1,411,low_value
166-19-2553,71,1,561.078,1,1,4,114,at_risk
169-52-4504,16,1,49.4235,4,1,1,411,low_value
172-42-8274,28,1,80.367,3,1,1,311,low_value
173-50-1108,45,1,84.756,3,1,1,311,low_value
173-57-2300,17,1,153.048,4,1,2,412,low_value
173-82-9529,63,1,398.475,2,1,3,213,at_risk
174-36-3675,44,1,208.677,3,1,2,312,low_value
174-64-0215,25,1,732.27,3,1,4,314,others
174-75-0888,16,1,203.931,4,1,2,412,low_value
175-54-2529,27,1,186.228,3,1,2,312,low_value
176-64-7711,3,1,101.808,4,1,1,411,low_value
176-78-1170,63,1,106.5015,2,1,1,211,at_risk
181-82-6255,50,1,103.131,2,1,1,211,at_risk
181-94-6432,53,1,145.593,2,1,2,212,at_risk
182-52-7000,88,1,113.568,1,1,1,111,at_risk
182-69-8360,59,1,99.33,2,1,1,211,at_risk
182-88-2763,10,1,251.7165,4,1,2,412,low_value
183-21-3799,39,1,733.6035,3,1,4,314,others
183-56-6882,52,1,417.564,2,1,3,213,at_risk
186-09-3669,67,1,85.5855,1,1,1,111,at_risk
186-43-8965,34,1,100.128,3,1,1,311,low_value
186-71-5196,3,1,167.034,4,1,2,412,low_value
186-79-9562,1,1,527.5095,4,1,4,414,others
187-83-5490,58,1,87.234,2,1,1,211,at_risk
188-55-0967,74,1,697.935,1,1,4,114,at_risk
189-08-9157,81,1,299.8485,1,1,3,113,at_risk
189-17-4241,20,1,184.107,4,1,2,412,low_value
189-40-5216,80,1,708.3195,1,1,4,114,at_risk
189-52-0236,16,1,731.6925,4,1,4,414,others
189-55-2313,58,1,652.89,2,1,4,214,at_risk
189-98-2939,29,1,742.2975,3,1,4,314,others
190-14-3147,35,1,75.474,3,1,1,311,low_value
190-59-3964,55,1,247.59,2,1,2,212,at_risk
191-10-6171,64,1,291.207,2,1,3,213,at_risk
191-29-0321,31,1,207.585,3,1,2,312,low_value
192-98-7397,81,1,13.419,1,1,1,111,at_risk
195-06-0432,76,1,255.1815,1,1,3,113,at_risk
196-01-2849,48,1,539.343,2,1,4,214,at_risk
197-77-7132,77,1,769.104,1,1,4,114,at_risk
198-66-9832,54,1,151.284,2,1,2,212,at_risk
198-84-7132,87,1,383.7645,1,1,3,113,at_risk
199-75-8169,24,1,166.005,3,1,2,312,low_value
200-16-5952,72,1,137.865,1,1,2,112,at_risk
200-40-6154,49,1,415.233,2,1,3,213,at_risk
201-63-8275,41,1,499.7265,3,1,4,314,others
201-86-2184,56,1,193.011,2,1,2,212,at_risk
207-73-1363,29,1,145.971,3,1,2,312,low_value
209-61-0206,84,1,225.2775,1,1,2,112,at_risk
210-30-7976,16,1,93.744,4,1,1,411,low_value
210-57-1719,53,1,550.368,2,1,4,214,at_risk
210-67-5886,53,1,309.3615,2,1,3,213,at_risk
210-74-9613,14,1,408.492,4,1,3,413,others
211-05-0490,27,1,272.58,3,1,3,313,others
211-30-9270,61,1,91.4025,2,1,1,211,at_risk
212-62-1842,2,1,367.038,4,1,3,413,others
213-32-1216,66,1,416.178,1,1,3,113,at_risk
213-72-6612,10,1,90.825,4,1,1,411,low_value
214-17-6927,51,1,103.824,2,1,1,211,at_risk
214-30-2776,19,1,181.0725,4,1,2,412,low_value
217-58-1179,84,1,263.13,1,1,3,113,at_risk
218-59-9410,1,1,228.123,4,1,2,412,low_value
219-22-9386,21,1,944.622,4,1,4,414,others
219-61-4139,66,1,87.234,1,1,1,111,at_risk
220-28-1851,29,1,72.933,3,1,1,311,low_value
220-68-6701,13,1,325.374,4,1,3,413,others
221-25-5073,26,1,313.572,3,1,3,313,others
222-42-0244,61,1,681.4395,2,1,4,214,at_risk
225-32-0908,63,1,471.03,2,1,3,213,at_risk
225-98-1496,28,1,85.113,3,1,1,311,low_value
226-31-3081,22,1,80.22,4,1,1,411,low_value
226-34-0034,79,1,57.876,1,1,1,111,at_risk
226-71-3580,58,1,224.4375,2,1,2,212,at_risk
227-03-5010,8,1,441.756,4,1,3,413,others
227-07-4446,48,1,820.365,2,1,4,214,at_risk
227-50-3718,26,1,76.755,3,1,1,311,low_value
227-78-1148,43,1,535.374,3,1,4,314,others
228-96-1411,26,1,829.08,3,1,4,314,others
232-11-3025,65,1,827.085,2,1,4,214,at_risk
232-16-2483,82,1,71.526,1,1,1,111,at_risk
233-34-0817,43,1,103.782,3,1,1,311,low_value
233-67-5758,60,1,42.3675,2,1,1,211,at_risk
234-03-4040,27,1,767.025,3,1,4,314,others
234-36-2483,43,1,362.817,3,1,3,313,others
234-65-2137,73,1,1003.59,1,1,4,114,at_risk
235-06-8510,65,1,270.018,2,1,3,213,at_risk
235-46-8343,44,1,290.43,3,1,3,313,others
236-27-1144,4,1,154.1295,4,1,2,412,low_value
236-86-3015,54,1,14.679,2,1,1,211,at_risk
237-01-6122,57,1,763.4655,2,1,4,214,at_risk
237-44-6163,65,1,88.704,2,1,1,211,at_risk
238-45-6950,29,1,56.406,3,1,1,311,low_value
238-49-0436,3,1,272.664,4,1,3,413,others
239-10-7476,68,1,491.085,1,1,4,114,at_risk
239-36-3640,58,1,285.705,2,1,3,213,at_risk
239-48-4278,20,1,74.4555,4,1,1,411,low_value
241-11-2261,79,1,586.971,1,1,4,114,at_risk
241-72-9525,42,1,545.055,3,1,4,314,others
241-96-5076,81,1,103.11,1,1,1,111,at_risk
242-11-3142,34,1,175.917,3,1,2,312,low_value
242-55-6721,23,1,33.936,3,1,1,311,low_value
243-47-2663,61,1,118.251,2,1,1,211,at_risk
243-55-8457,31,1,781.62,3,1,4,314,others
244-08-0162,87,1,359.205,1,1,3,113,at_risk
246-11-3901,43,1,344.4,3,1,3,313,others
246-55-6923,20,1,338.2155,4,1,3,413,others
247-11-2470,29,1,93.744,3,1,1,311,low_value
249-42-3782,86,1,367.5525,1,1,3,113,at_risk
250-17-5703,31,1,197.925,3,1,2,312,low_value
250-81-7186,31,1,104.6745,3,1,1,311,low_value
252-56-2699,51,1,453.495,2,1,3,213,at_risk
253-12-6086,18,1,723.24,4,1,4,414,others
254-31-0042,24,1,203.175,3,1,2,312,low_value
256-08-8343,26,1,237.426,3,1,2,312,low_value
256-58-3609,12,1,96.579,4,1,1,411,low_value
257-60-7754,81,1,210.966,1,1,2,112,at_risk
257-73-1380,69,1,348.306,1,1,3,113,at_risk
258-69-7810,63,1,193.4625,2,1,2,212,at_risk
258-92-7466,52,1,187.32,2,1,2,212,at_risk
261-12-8671,64,1,128.016,2,1,2,212,at_risk
262-47-2794,24,1,603.624,3,1,4,314,others
263-10-3913,80,1,463.428,1,1,3,113,at_risk
263-12-5321,31,1,680.61,3,1,4,314,others
263-87-5680,12,1,299.565,4,1,3,413,others
266-20-6657,18,1,404.544,4,1,3,413,others
266-76-6436,2,1,121.59,4,1,1,411,low_value
267-62-7380,1,1,864.57,4,1,4,414,others
268-03-6164,64,1,100.9155,2,1,1,211,at_risk
268-20-3585,54,1,130.8825,2,1,2,212,at_risk
268-27-6179,21,1,474.348,4,1,4,414,others
269-04-5750,37,1,310.044,3,1,3,313,others
269-10-8440,68,1,390.7995,1,1,3,113,at_risk
271-77-8740,88,1,184.086,1,1,2,112,at_risk
271-88-8734,50,1,1020.705,2,1,4,214,at_risk
272-27-9238,39,1,173.208,3,1,2,312,low_value
272-65-1806,74,1,575.316,1,1,4,114,at_risk
273-16-6619,15,1,69.72,4,1,1,411,low_value
273-84-2164,42,1,63.2625,3,1,1,311,low_value
274-05-5470,35,1,308.574,3,1,3,313,others
275-28-0149,33,1,66.8745,3,1,1,311,low_value
276-54-0879,18,1,410.508,4,1,3,413,others
276-75-6884,26,1,216.4365,3,1,2,312,low_value
277-35-5865,21,1,935.2665,4,1,4,414,others
277-63-2961,55,1,77.6685,2,1,1,211,at_risk
278-86-2735,3,1,164.871,4,1,2,412,low_value
278-97-7759,40,1,65.604,3,1,1,311,low_value
279-62-1445,37,1,13.167,3,1,1,311,low_value
279-74-2924,85,1,75.7785,1,1,1,111,at_risk
280-17-4359,64,1,950.25,2,1,4,214,at_risk
280-35-5823,72,1,91.056,1,1,1,111,at_risk
282-35-2475,5,1,195.951,4,1,2,412,low_value
283-26-5248,59,1,1034.46,2,1,4,214,at_risk
283-79-9594,64,1,356.5485,2,1,3,213,at_risk
284-34-9626,47,1,242.676,2,1,2,212,at_risk
284-54-4231,70,1,84.9765,1,1,1,111,at_risk
285-68-5083,43,1,77.931,3,1,1,311,low_value
286-01-5402,0,1,295.6905,4,1,3,413,others
286-43-6208,14,1,829.71,4,1,4,414,others
286-62-6248,73,1,164.682,1,1,2,112,at_risk
286-75-7818,58,1,145.068,2,1,2,212,at_risk
287-21-9091,67,1,705.6315,1,1,4,114,at_risk
287-83-1405,46,1,160.209,2,1,2,212,at_risk
288-38-3758,64,1,267.3405,2,1,3,213,at_risk
288-62-1085,80,1,202.335,1,1,2,112,at_risk
289-15-7034,78,1,345.786,1,1,3,113,at_risk
289-65-5721,63,1,170.877,2,1,2,212,at_risk
290-68-2984,14,1,99.75,4,1,1,411,low_value
291-21-5991,1,1,321.7725,4,1,3,413,others
291-32-1427,25,1,115.185,3,1,1,311,low_value
291-55-6563,0,1,216.846,4,1,2,412,low_value
291-59-1384,30,1,63.315,3,1,1,311,low_value
296-11-7041,77,1,28.4235,1,1,1,111,at_risk
299-29-0180,21,1,383.523,4,1,3,413,others
299-46-1805,74,1,590.436,1,1,4,114,at_risk
300-71-4605,33,1,451.71,3,1,3,313,others
301-11-9629,74,1,140.385,1,1,2,112,at_risk
301-81-8610,11,1,213.528,4,1,2,412,low_value
302-15-2162,27,1,293.139,3,1,3,313,others
303-96-2227,28,1,1022.49,3,2,4,324,others
305-03-2383,43,1,211.365,3,2,2,322,low_value
305-14-0245,27,1,793.716,3,2,4,324,others
305-18-3552,46,1,633.99,2,2,4,224,at_risk
305-89-2768,80,1,68.985,1,2,1,121,at_risk
307-04-2070,53,1,32.151,2,2,1,221,at_risk
307-83-9164,64,1,252.042,2,2,2,222,at_risk
307-85-2293,23,1,263.97,3,2,3,323,others
308-39-1707,63,1,12.6945,2,2,1,221,at_risk
308-47-4913,21,1,548.73,4,2,4,424,others
308-81-0538,33,1,306.81,3,2,3,323,others
311-13-6971,38,1,335.895,3,2,3,323,others
313-66-9943,3,1,91.8225,4,2,1,421,low_value
314-23-4520,74,1,597.0405,1,2,4,124,at_risk
315-22-5665,34,1,772.38,3,2,4,324,others
316-01-3952,17,1,284.9175,4,2,3,423,others
316-55-4634,63,1,420.2625,2,2,3,223,at_risk
316-66-3011,66,1,450.1035,1,2,3,123,at_risk
316-68-6352,68,1,76.356,1,2,1,121,at_risk
318-12-0304,66,1,32.1405,1,2,1,121,at_risk
318-68-5053,31,1,485.037,3,2,4,324,others
318-81-2368,11,1,48.51,4,2,1,421,low_value
319-50-3348,19,1,84.63,4,2,1,421,low_value
319-74-2561,37,1,298.116,3,2,3,323,others
320-32-8842,13,1,23.751,4,2,1,421,low_value
320-49-6392,26,1,31.752,3,2,1,321,low_value
320-85-2052,75,1,36.5505,1,2,1,121,at_risk
321-49-7382,43,1,92.7255,3,2,1,321,low_value
322-02-2271,55,1,135.3555,2,2,2,222,at_risk
324-41-6833,27,1,253.68,3,2,2,322,low_value
324-92-3863,53,1,43.869,2,2,1,221,at_risk
325-77-6186,22,1,951.825,4,2,4,424,others
325-89-4209,53,1,92.295,2,2,1,221,at_risk
325-90-8763,62,1,488.985,2,2,4,224,at_risk
326-71-2155,55,1,310.59,2,2,3,223,at_risk
326-78-5178,55,1,671.79,2,2,4,224,at_risk
327-40-9673,76,1,457.38,1,2,3,123,at_risk
329-62-1586,68,1,172.2105,1,2,2,122,at_risk
333-23-2632,2,1,74.088,4,2,1,421,low_value
333-73-7901,7,1,461.328,4,2,3,423,others
334-64-2006,6,1,147.672,4,2,2,422,low_value
336-78-2147,17,1,536.844,4,2,4,424,others
338-65-2210,53,1,720.3,2,2,4,224,at_risk
339-12-4827,84,1,77.658,1,2,1,121,at_risk
339-18-7061,45,1,195.258,3,2,2,322,low_value
