date,date_key,year,month,month_name,quarter,day,day_name,week
2018-08-07,20180807,2018,8,August,3,7,Tuesday,32
2018-08-08,20180808,2018,8,August,3,8,Wednesday,32
2018-08-09,20180809,2018,8,August,3,9,Thursday,32
2018-08-10,20180810,2018,8,August,3,10,Friday,32
2018-08-11,20180811,2018,8,August,3,11,Saturday,32
2018-08-12,20180812,2018,8,August,3,12,Sunday,32
2018-08-13,20180813,2018,8,August,3,13,Monday,33
2018-08-14,20180814,2018,8,August,3,14,Tuesday,33
2018-08-15,20180815,2018,8,August,3,15,Wednesday,33
2018-08-16,20180816,2018,8,August,3,16,Thursday,33
2018-08-17,20180817,2018,8,August,3,17,Friday,33
2018-08-18,20180818,2018,8,August,3,18,Saturday,33
2018-08-19,20180819,2018,8,August,3,19,Sunday,33
2018-08-20,20180820,2018,8,August,3,20,Monday,34
2018-08-21,20180821,2018,8,August,3,21,Tuesday,34
2018-08-22,20180822,2018,8,August,3,22,Wednesday,34
2018-08-23,20180823,2018,8,August,3,23,Thursday,34
2018-08-24,20180824,2018,8,August,3,24,Friday,34
2018-08-25,20180825,2018,8,August,3,25,Saturday,34
2018-08-26,20180826,2018,8,August,3,26,Sunday,34
2018-08-27,20180827,2018,8,August,3,27,Monday,35
2018-08-28,20180828,2018,8,August,3,28,Tuesday,35
2018-08-29,20180829,2018,8,August,3,29,Wednesday,35
2018-08-30,20180830,2018,8,August,3,30,Thursday,35
2018-08-31,20180831,2018,8,August,3,31,Friday,35
2018-09-01,20180901,2018,9,September,3,1,Saturday,35
2018-09-02,20180902,2018,9,September,3,2,Sunday,35
2018-09-03,20180903,2018,9,September,3,3,Monday,36
2018-09-04,20180904,2018,9,September,3,4,Tuesday,36
2018-09-05,20180905,2018,9,September,3,5,Wednesday,36
2018-09-06,20180906,2018,9,September,3,6,Thursday,36
2018-09-07,20180907,2018,9,September,3,7,Friday,36
2018-09-08,20180908,2018,9,September,3,8,Saturday,36
2018-09-09,20180909,2018,9,September,3,9,Sunday,36
2018-09-10,20180910,2018,9,September,3,10,Monday,37
2018-09-11,20180911,2018,9,September,3,11,Tuesday,37
2018-09-12,20180912,2018,9,September,3,12,Wednesday,37
2018-09-13,20180913,2018,9,September,3,13,Thursday,37
2018-09-14,20180914,2018,9,September,3,14,Friday,37
2018-09-15,20180915,2018,9,September,3,15,Saturday,37
2018-09-16,20180916,2018,9,September,3,16,Sunday,37
2018-09-17,20180917,2018,9,September,3,17,Monday,38
2018-09-18,20180918,2018,9,September,3,18,Tuesday,38
2018-09-19,20180919,2018,9,September,3,19,Wednesday,38
2018-09-20,20180920,2018,9,September,3,20,Thursday,38
2018-09-21,20180921,2018,9,September,3,21,Friday,38
2018-09-22,20180922,2018,9,September,3,22,Saturday,38
2018-09-23,20180923,2018,9,September,3,23,Sunday,38
2018-09-24,20180924,2018,9,September,3,24,Monday,39
2018-09-25,20180925,2018,9,September,3,25,Tuesday,39
2018-09-26,20180926,2018,9,September,3,26,Wednesday,39
2018-09-27,20180927,2018,9,September,3,27,Thursday,39
2018-09-28,20180928,2018,9,September,3,28,Friday,39
2018-09-29,20180929,2018,9,September,3,29,Saturday,39
2018-09-30,20180930,2018,9,September,3,30,Sunday,39
2018-10-01,20181001,2018,10,October,4,1,Monday,40
2018-10-02,20181002,2018,10,October,4,2,Tuesday,40
2018-10-03,20181003,2018,10,October,4,3,Wednesday,40
2018-10-04,20181004,2018,10,October,4,4,Thursday,40
2018-10-05,20181005,2018,10,October,4,5,Friday,40
2018-10-06,20181006,2018,10,October,4,6,Saturday,40
2018-10-07,20181007,2018,10,October,4,7,Sunday,40
2018-10-08,20181008,2018,10,October,4,8,Monday,41
2018-10-09,20181009,2018,10,October,4,9,Tuesday,41
2018-10-10,20181010,2018,10,October,4,10,Wednesday,41
2018-10-11,20181011,2018,10,October,4,11,Thursday,41
2018-10-12,20181012,2018,10,October,4,12,Friday,41
2018-10-13,20181013,2018,10,October,4,13,Saturday,41
2018-10-14,20181014,2018,10,October,4,14,Sunday,41
2018-10-15,20181015,2018,10,October,4,15,Monday,42
2018-10-16,20181016,2018,10,October,4,16,Tuesday,42
2018-10-17,20181017,2018,10,October,4,17,Wednesday,42
2018-10-18,20181018,2018,10,October,4,18,Thursday,42
2018-10-19,20181019,2018,10,October,4,19,Friday,42
2018-10-20,20181020,2018,10,October,4,20,Saturday,42
2018-10-21,20181021,2018,10,October,4,21,Sunday,42
2018-10-22,20181022,2018,10,October,4,22,Monday,43
2018-10-23,20181023,2018,10,October,4,23,Tuesday,43
2018-10-24,20181024,2018,10,October,4,24,Wednesday,43
2018-10-25,20181025,2018,10,October,4,25,Thursday,43
2018-10-26,20181026,2018,10,October,4,26,Friday,43
2018-10-27,20181027,2018,10,October,4,27,Saturday,43
2018-10-28,20181028,2018,10,October,4,28,Sunday,43
2018-10-29,20181029,2018,10,October,4,29,Monday,44
2018-10-30,20181030,2018,10,October,4,30,Tuesday,44
2018-10-31,20181031,2018,10,October,4,31,Wednesday,44
2018-11-01,20181101,2018,11,November,4,1,Thursday,44
2018-11-02,20181102,2018,11,November,4,2,Friday,44
2018-11-03,20181103,2018,11,November,4,3,Saturday,44
2018-11-04,20181104,2018,11,November,4,4,Sunday,44
2018-11-05,20181105,2018,11,November,4,5,Monday,45
