employee_id,title,business_unit,department_type,division,state,gender_code,race_desc,marital_desc,age
3427,Production Technician I,CCDR,Production       ,Finance & Accounting,MA,Female,White,Widowed,50
3428,Production Technician I,EW,Production       ,Aerial,MA,Male,Hispanic,Widowed,58
3429,Area Sales Manager,PL,Sales,General - Sga,MA,Male,Hispanic,Widowed,27
3430,Area Sales Manager,CCDR,Sales,Finance & Accounting,ND,Male,Other,Single,23
3431,Area Sales Manager,TNS,Sales,General - Con,FL,Female,Other,Married,50
3432,Area Sales Manager,BPC,Sales,Field Operations,CT,Male,Black,Married,71
3433,Area Sales Manager,WBL,Sales,General - Eng,CA,Female,Hispanic,Divorced,80
3434,Area Sales Manager,CCDR,Sales,Engineers,OR,Female,White,Divorced,63
3435,Area Sales Manager,NEL,Sales,Executive,TX,Male,Black,Widowed,44
3436,Area Sales Manager,BPC,Sales,Engineers,TX,Male,Asian,Widowed,73
3437,Area Sales Manager,SVG,Sales,Field Operations,IN,Female,Other,Single,59
3438,Area Sales Manager,MSC,Sales,General - Con,GA,Female,Asian,Married,70
3439,Area Sales Manager,EW,Sales,Splicing,CO,Male,Other,Single,41
3440,Area Sales Manager,CCDR,Sales,Finance & Accounting,KY,Female,White,Divorced,68
3441,Area Sales Manager,BPC,Sales,General - Con,NV,Male,Asian,Widowed,30
3442,Area Sales Manager,PYZ,IT/IS,Field Operations,MA,Male,Black,Single,67
3443,Area Sales Manager,WBL,IT/IS,Project Management - Con,KY,Male,Asian,Widowed,27
3444,Area Sales Manager,NEL,Sales,Engineers,KY,Male,Other,Widowed,38
3445,Area Sales Manager,PL,Sales,Project Management - Con,KY,Female,Other,Married,36
3446,Area Sales Manager,BPC,Sales,Field Operations,TX,Female,White,Divorced,25
3450,Area Sales Manager,MSC,Sales,Field Operations,CO,Male,Other,Single,26
3451,Area Sales Manager,TNS,Sales,General - Con,CO,Male,Other,Divorced,53
3452,Area Sales Manager,PYZ,Sales,General - Con,IN,Male,Black,Divorced,75
3453,Area Sales Manager,WBL,Sales,Fielders,MA,Male,White,Widowed,40
3454,Area Sales Manager,PYZ,IT/IS,General - Con,KY,Male,Hispanic,Married,52
3455,Area Sales Manager,WBL,Sales,Project Management - Eng,KY,Male,Other,Widowed,22
3456,Area Sales Manager,NEL,Sales,Field Operations,KY,Female,Black,Divorced,77
3457,Area Sales Manager,PL,Sales,Engineers,KY,Female,White,Divorced,73
3460,Area Sales Manager,SVG,Sales,Aerial,TX,Male,Asian,Married,76
3462,Area Sales Manager,MSC,Sales,Field Operations,CO,Male,Hispanic,Divorced,76
3463,Area Sales Manager,TNS,Sales,Field Operations,IN,Male,Hispanic,Single,69
3464,Area Sales Manager,PYZ,Sales,Shop (Fleet),MA,Male,Black,Widowed,20
3465,Area Sales Manager,WBL,Sales,General - Con,MA,Male,Asian,Divorced,59
3466,Area Sales Manager,PYZ,IT/IS,Aerial,KY,Male,Other,Married,43
3467,Area Sales Manager,WBL,Sales,Fielders,KY,Female,Asian,Divorced,33
3468,Area Sales Manager,NEL,Sales,Wireline Construction,KY,Female,Black,Single,21
