employee_id,employee_status,employee_type,pay_zone,employee_classification_type,start_date,start_date_key
3427,Active,Contract,Zone C,Temporary,2019-09-20,20190920.0
3428,Active,Contract,Zone A,Part-Time,2023-02-11,20230211.0
3429,Active,Full-Time,Zone B,Part-Time,2018-12-10,20181210.0
3430,Active,Contract,Zone A,Full-Time,2021-06-21,20210621.0
3431,Active,Contract,Zone A,Temporary,2019-06-29,20190629.0
3432,Active,Contract,Zone B,Full-Time,2020-01-17,20200117.0
3433,Active,Full-Time,Zone B,Temporary,2022-04-06,20220406.0
3434,Active,Contract,Zone C,Full-Time,2020-11-06,20201106.0
3435,Active,Contract,Zone B,Part-Time,2018-08-18,20180818.0
3436,Active,Part-Time,Zone B,Temporary,2022-01-21,20220121.0
3437,Active,Contract,Zone B,Temporary,2023-08-04,20230804.0
3438,Active,Full-Time,Zone C,Temporary,2018-08-10,20180810.0
3439,Active,Full-Time,Zone A,Temporary,2022-05-25,20220525.0
3440,Active,Contract,Zone A,Full-Time,2019-12-05,20191205.0
3441,Active,Part-Time,Zone A,Part-Time,2019-04-28,20190428.0
3442,Active,Full-Time,Zone A,Full-Time,2019-07-09,20190709.0
3443,Active,Full-Time,Zone C,Part-Time,2021-04-05,20210405.0
3444,Active,Contract,Zone A,Part-Time,2021-11-28,20211128.0
3445,Active,Contract,Zone C,Full-Time,2021-01-16,20210116.0
3446,Active,Part-Time,Zone A,Part-Time,2021-08-24,20210824.0
3450,Active,Contract,Zone C,Temporary,2020-09-01,20200901.0
3451,Active,Contract,Zone C,Full-Time,2021-02-18,20210218.0
3452,Active,Part-Time,Zone A,Part-Time,2022-11-08,20221108.0
3453,Active,Contract,Zone C,Part-Time,2022-10-13,20221013.0
3454,Active,Full-Time,Zone C,Full-Time,2022-09-11,20220911.0
3455,Active,Full-Time,Zone C,Temporary,2021-06-29,20210629.0
3456,Active,Full-Time,Zone A,Temporary,2023-03-06,20230306.0
3457,Active,Full-Time,Zone B,Temporary,2020-09-25,20200925.0
3460,Active,Full-Time,Zone A,Full-Time,2020-02-19,20200219.0
3462,Active,Contract,Zone A,Full-Time,2018-09-13,20180913.0
3463,Active,Part-Time,Zone A,Temporary,2020-04-30,20200430.0
3464,Active,Contract,Zone B,Full-Time,2018-12-03,20181203.0
3465,Active,Full-Time,Zone B,Full-Time,2021-11-08,20211108.0
3466,Active,Part-Time,Zone C,Full-Time,2022-04-13,20220413.0
3467,Active,Contract,Zone A,Part-Time,2020-05-06,20200506.0
3468,Active,Contract,Zone B,Temporary,2019-09-09,20190909.0
3471,Active,Part-Time,Zone C,Temporary,2020-02-29,20200229.0
3472,Active,Contract,Zone C,Full-Time,2023-01-15,20230115.0
3473,Active,Part-Time,Zone A,Temporary,2023-06-29,20230629.0
3474,Active,Full-Time,Zone A,Temporary,2020-03-09,20200309.0
3475,Active,Full-Time,Zone C,Temporary,2021-09-21,20210921.0
3476,Active,Part-Time,Zone A,Temporary,2023-06-12,20230612.0
3477,Active,Part-Time,Zone A,Full-Time,2019-04-07,20190407.0
3478,Active,Full-Time,Zone C,Temporary,2018-09-17,20180917.0
3479,Active,Contract,Zone A,Part-Time,2022-08-02,20220802.0
3483,Active,Part-Time,Zone B,Temporary,2021-09-26,20210926.0
3484,Active,Part-Time,Zone B,Full-Time,2018-08-29,20180829.0
3485,Active,Contract,Zone C,Full-Time,2021-10-26,20211026.0
3486,Active,Part-Time,Zone C,Temporary,2022-10-31,20221031.0
3487,Active,Contract,Zone B,Part-Time,2023-03-15,20230315.0
3488,Active,Contract,Zone B,Full-Time,2022-09-09,20220909.0
3489,Active,Part-Time,Zone A,Temporary,2022-03-04,20220304.0
3490,Active,Part-Time,Zone A,Part-Time,2019-02-11,20190211.0
3491,Active,Contract,Zone B,Full-Time,2021-01-26,20210126.0
3492,Active,Full-Time,Zone C,Full-Time,2019-11-26,20191126.0
3493,Active,Full-Time,Zone C,Full-Time,2019-07-15,20190715.0
3494,Active,Contract,Zone B,Full-Time,2020-06-18,20200618.0
3495,Active,Part-Time,Zone B,Temporary,2023-06-22,20230622.0
3496,Active,Contract,Zone A,Part-Time,2021-12-02,20211202.0
3497,Active,Part-Time,Zone C,Temporary,2021-12-08,20211208.0
3498,Active,Full-Time,Zone A,Full-Time,2023-04-26,20230426.0
3499,Active,Part-Time,Zone C,Temporary,2018-09-25,20180925.0
3500,Active,Full-Time,Zone B,Part-Time,2018-11-20,20181120.0
3502,Active,Full-Time,Zone C,Temporary,2019-10-01,20191001.0
3503,Active,Part-Time,Zone A,Temporary,2022-01-20,20220120.0
3504,Active,Full-Time,Zone B,Part-Time,2021-10-10,20211010.0
3505,Active,Contract,Zone B,Temporary,2020-08-29,20200829.0
3506,Active,Full-Time,Zone B,Temporary,2019-08-27,20190827.0
3507,Active,Full-Time,Zone A,Full-Time,2021-02-25,20210225.0
3508,Active,Full-Time,Zone B,Part-Time,2021-07-13,20210713.0
3509,Active,Part-Time,Zone C,Full-Time,2021-04-14,20210414.0
3510,Active,Part-Time,Zone A,Full-Time,2020-02-10,20200210.0
3511,Active,Part-Time,Zone B,Full-Time,2021-08-17,20210817.0
3514,Active,Full-Time,Zone B,Part-Time,2020-04-15,20200415.0
3516,Active,Contract,Zone B,Part-Time,2022-04-07,20220407.0
3517,Active,Part-Time,Zone A,Part-Time,2020-02-19,20200219.0
3518,Active,Contract,Zone B,Part-Time,2021-04-10,20210410.0
3519,Active,Part-Time,Zone C,Temporary,2021-12-19,20211219.0
3520,Active,Full-Time,Zone C,Temporary,2020-12-13,20201213.0
3521,Active,Contract,Zone C,Part-Time,2019-02-26,20190226.0
3522,Active,Full-Time,Zone C,Part-Time,2020-03-02,20200302.0
3523,Active,Full-Time,Zone A,Temporary,2021-06-25,20210625.0
3526,Active,Full-Time,Zone B,Full-Time,2022-09-15,20220915.0
3527,Active,Full-Time,Zone B,Temporary,2020-05-01,20200501.0
