employee_id,training_program_name,training_date,training_type,training_outcome,training_duration_days,training_cost,training_date_key
3427,Leadership Development,2023-07-15,Internal,Failed,2,606.11,20230715.0
3428,Customer Service,2022-09-12,External,Incomplete,4,673.02,20220912.0
3429,Leadership Development,2022-08-13,External,Failed,2,413.28,20220813.0
3430,Project Management,2022-12-15,External,Completed,3,663.78,20221215.0
3431,Technical Skills,2023-07-13,External,Failed,5,399.03,20230713.0
3432,Project Management,2023-04-18,Internal,Passed,2,820.33,20230418.0
3433,Customer Service,2022-08-06,External,Passed,5,295.08,20220806.0
3434,Leadership Development,2022-10-07,Internal,Passed,3,790.15,20221007.0
3435,Customer Service,2023-07-19,Internal,Passed,3,798.4,20230719.0
3436,Leadership Development,2023-04-09,Internal,Failed,5,192.61,20230409.0
3437,Technical Skills,2022-10-20,Internal,Failed,1,455.68,20221020.0
3438,Technical Skills,2022-10-05,Internal,Failed,2,208.17,20221005.0
3439,Technical Skills,2023-03-09,External,Incomplete,1,421.07,20230309.0
3440,Communication Skills,2023-05-29,External,Failed,1,649.03,20230529.0
3441,Project Management,2023-01-08,Internal,Passed,4,450.2,20230108.0
3442,Project Management,2023-03-06,External,Failed,4,286.87,20230306.0
3443,Technical Skills,2023-02-18,External,Failed,3,402.13,20230218.0
3444,Technical Skills,2022-11-02,External,Failed,2,388.84,20221102.0
3445,Project Management,2023-07-14,External,Completed,2,879.64,20230714.0
3446,Technical Skills,2022-12-11,Internal,Failed,5,701.13,20221211.0
3450,Technical Skills,2023-01-12,Internal,Completed,4,186.07,20230112.0
3451,Technical Skills,2023-03-22,External,Completed,1,921.97,20230322.0
3452,Customer Service,2022-09-13,Internal,Failed,1,691.04,20220913.0
3453,Customer Service,2022-08-25,External,Completed,5,964.44,20220825.0
3454,Communication Skills,2023-02-07,Internal,Passed,3,184.9,20230207.0
3455,Project Management,2023-03-17,External,Passed,1,220.41,20230317.0
3456,Technical Skills,2023-06-08,External,Passed,2,336.82,20230608.0
3457,Customer Service,2023-04-15,External,Completed,4,485.73,20230415.0
3460,Communication Skills,2023-07-08,External,Incomplete,5,919.52,20230708.0
3462,Project Management,2023-07-19,External,Completed,1,320.01,20230719.0
3463,Technical Skills,2022-08-29,Internal,Incomplete,4,926.19,20220829.0
3464,Customer Service,2022-11-13,External,Passed,2,290.47,20221113.0
3465,Communication Skills,2023-06-04,External,Incomplete,1,706.1,20230604.0
3466,Customer Service,2022-12-07,External,Passed,3,447.66,20221207.0
3467,Technical Skills,2023-02-24,Internal,Incomplete,1,759.7,20230224.0
3468,Customer Service,2023-05-10,Internal,Completed,3,180.63,20230510.0
3471,Customer Service,2023-03-23,External,Passed,3,109.98,20230323.0
3472,Technical Skills,2023-02-12,External,Completed,5,537.24,20230212.0
3473,Communication Skills,2022-12-06,External,Failed,5,789.99,20221206.0
3474,Customer Service,2022-09-01,External,Incomplete,5,155.51,20220901.0
3475,Customer Service,2022-11-02,Internal,Passed,2,648.76,20221102.0
3476,Leadership Development,2022-11-18,Internal,Incomplete,4,533.5,20221118.0
