employee_index,employee_id,predicted_attrition,attrition_probability,actual_attrition,title,tenure_years,total_training_cost,age,division,department_type,business_unit,avg_rating,avg_wlb,state,avg_engagement,race_desc,avg_satisfaction,avg_training_days,marital_desc,start_date_key,survey_date_key,training_date_key
0,3427,0,0.3738091404992606,0,22,6.068493150684931,606.11,50,8,3,1,4.0,3.0,10,1.0,4,2.0,2.0,3,20190920.0,20230114.0,20230715.0
1,3428,0,0.32778824782916005,0,22,2.671232876712329,673.02,58,0,3,2,3.0,5.0,10,2.0,2,1.0,4.0,3,20230211.0,20220909.0,20220912.0
2,3429,0,0.08655761762052883,0,2,6.846575342465753,413.28,27,11,4,5,4.0,1.0,10,1.0,2,2.0,2.0,3,20181210.0,20230527.0,20220813.0
3,3430,0,0.046326195473066656,0,2,4.315068493150685,663.78,23,8,4,1,2.0,4.0,14,5.0,3,5.0,3.0,2,20210621.0,20230616.0,20221215.0
4,3431,0,0.058349712185169766,0,2,6.295890410958904,399.03,50,9,4,8,3.0,3.0,5,2.0,3,5.0,5.0,1,20190629.0,20221125.0,20230713.0
5,3432,0,0.050790104732084076,0,2,5.742465753424658,820.33,71,6,4,0,3.0,5.0,4,2.0,1,3.0,2.0,1,20200117.0,20221212.0,20230418.0
6,3433,0,0.0334712295256405,0,2,3.5232876712328767,295.08,80,10,4,9,4.0,2.0,2,1.0,2,5.0,5.0,0,20220406.0,20230325.0,20220806.0
7,3434,0,0.09967409246471914,0,2,4.936986301369863,790.15,63,4,4,1,2.0,2.0,19,1.0,4,4.0,3.0,0,20201106.0,20230421.0,20221007.0
8,3435,0,0.12117820599040455,0,2,7.158904109589041,798.4,44,5,4,4,3.0,3.0,23,4.0,1,3.0,3.0,3,20180818.0,20221209.0,20230719.0
9,3436,0,0.14617177258327818,0,2,3.728767123287671,192.61,73,4,4,0,5.0,2.0,23,5.0,0,5.0,5.0,3,20220121.0,20230730.0,20230409.0
10,3437,0,0.022588074481554532,0,2,2.1945205479452055,455.68,59,6,4,7,5.0,5.0,8,3.0,3,2.0,1.0,2,20230804.0,20221015.0,20221020.0
11,3438,0,0.06211301216308078,0,2,7.1808219178082195,208.17,70,9,4,3,3.0,5.0,6,4.0,0,2.0,2.0,1,20180810.0,20221028.0,20221005.0
12,3439,0,0.02967870847969437,0,2,3.389041095890411,421.07,41,19,4,2,3.0,5.0,3,1.0,3,2.0,1.0,2,20220525.0,20221030.0,20230309.0
13,3440,0,0.08120150765339079,0,2,5.86027397260274,649.03,68,8,4,1,3.0,5.0,9,1.0,4,4.0,1.0,0,20191205.0,20220924.0,20230529.0
14,3441,0,0.11405779755877331,0,2,6.465753424657534,450.2,30,9,4,0,4.0,5.0,16,4.0,0,2.0,4.0,3,20190428.0,20221030.0,20230108.0
15,3442,0,0.07864714169592886,0,2,6.2684931506849315,286.87,67,6,2,6,2.0,3.0,10,2.0,1,5.0,4.0,2,20190709.0,20221031.0,20230306.0
16,3443,0,0.05040717687823655,0,2,4.526027397260274,402.13,27,14,2,9,3.0,4.0,9,2.0,0,2.0,3.0,3,20210405.0,20230429.0,20230218.0
17,3444,0,0.026568389092289046,0,2,3.8767123287671232,388.84,38,4,4,4,3.0,4.0,9,1.0,3,2.0,2.0,3,20211128.0,20221214.0,20221102.0
18,3445,0,0.04275127254888599,0,2,4.742465753424658,879.64,36,14,4,5,4.0,2.0,9,4.0,3,5.0,2.0,1,20210116.0,20230507.0,20230714.0
19,3446,0,0.1125114416539027,0,2,4.13972602739726,701.13,25,6,4,0,2.0,5.0,23,4.0,4,3.0,5.0,0,20210824.0,20230521.0,20221211.0
